"Gene_Name","Number_of_binding_site","Average_strength_of_binding","Expression_covariation"
"FBgn0011204",16,8.684444444,0.966048805
"FBgn0037327",13,10.785,0.953139252
"FBgn0261862",18,10.58857143,0.947727422
"FBgn0035207",12,6.738333333,0.944905395
"FBgn0031233",30,7.53047619,0.942680341
"FBgn0026238",17,8.388,0.939698414
"FBgn0015360",18,6.4325,0.936690161
"FBgn0036117",6,6.806666667,0.932292221
"FBgn0259978",15,9.8,0.930475188
"FBgn0036484",25,9.892,0.929382591
"FBgn0039350",8,9.864,0.928438627
"FBgn0027453",29,6.524444444,0.908214955
"FBgn0259247",13,8.826666667,0.904518148
"FBgn0001142",21,6.34952381,0.902447611
"FBgn0003138",7,6.591428571,0.896276401
"FBgn0260439",20,11.6,0.892528277
"FBgn0027507",7,5.805,0.887401619
"FBgn0005278",5,6.557087379,0.887051261
"FBgn0037376",21,8.855,0.885395086
"FBgn0038149",8,7.15,0.877364369
"FBgn0004611",6,8.43,0.876796129
"FBgn0026576",13,3.653333333,0.87572029
"FBgn0037236",21,5.715957447,0.871747834
"FBgn0037218",15,6.584,0.858324792
"FBgn0037074",19,6.736,0.856668918
"FBgn0000146",17,5.537142857,0.8558381
"FBgn0040005",4,6.64,0.853439947
"FBgn0261387",12,6.581666667,0.84912533
"FBgn0037252",13,6.627297297,0.84660979
"FBgn0261938",5,6.472,0.840857809
"FBgn0051457",13,7.133333333,0.835701296
"FBgn0043458",10,8.598,0.832733636
"FBgn0263236",6,9.63,0.820869166
"FBgn0250746",11,5.754545455,0.817387024
"FBgn0039994",13,3.481538462,0.816311365
"FBgn0020386",11,4.64,0.815140869
"FBgn0038432",7,6.557142857,0.814513317
"FBgn0033005",30,10.69818182,0.813920036
"FBgn0264712",14,6.664,0.810925515
"FBgn0000250",5,6.476,0.810424355
"FBgn0037234",18,6.629473684,0.809912559
"FBgn0037239",16,5.505555556,0.806429848
"FBgn0035238",9,4.782222222,0.80285477
"FBgn0037653",6,3.566666667,0.795448705
"FBgn0031244",11,5.650909091,0.791838578
"FBgn0035165",9,4.357777778,0.785158172
"FBgn0031213",9,5.616086957,0.784880595
"FBgn0037298",8,4.91,0.767022226
"FBgn0039711",7,3.674285714,0.763307875
"FBgn0039740",7,3.556,0.760040374
"FBgn0031660",9,5.466666667,0.754493452
"FBgn0086130",13,6.730769231,0.749143079
"FBgn0261698",9,4.406666667,0.743274333
"FBgn0037369",20,4.946666667,0.739370997
"FBgn0002284",15,7.168,0.738239077
"FBgn0037232",11,5.728235294,0.737487845
"FBgn0003015",6,5.473333333,0.736860457
"FBgn0052109",14,7.87,0.733661215
"FBgn0039112",10,3.47,0.722236691
"FBgn0037312",13,4.649230769,0.721619063
"FBgn0010333",10,5.584,0.709812836
"FBgn0260755",10,3.442,0.70565638
"FBgn0259791",6,4.833333333,0.699033855
"FBgn0037339",9,3.92,0.698039398
"FBgn0033000",8,4.56,0.693779126
"FBgn0035166",22,6.545,0.690865285
"FBgn0263697",10,7,0.685758328
"FBgn0086912",27,6.581481481,0.685083524
"FBgn0028436",7,6.56,0.679561448
"FBgn0040466",10,6.552,0.67536915
"FBgn0031360",30,5.40142857,0.673017839
"FBgn0086605",25,6.707894737,0.669608039
"FBgn0032997",12,3.691666667,0.668118286
"FBgn0261985",6,4.446666667,0.666151828
"FBgn0037379",18,5.806666667,0.662937013
"FBgn0028372",21,3.74,0.655842362
"FBgn0010355",11,5.815,0.653478212
"FBgn0027587",17,3.582692308,0.649518274
"FBgn0250830",12,4.510833333,0.648200124
"FBgn0035204",10,3.707,0.64691706
"FBgn0053158",7,5.722857143,0.633676974
"FBgn0035107",23,4.631724138,0.630825731
"FBgn0004373",12,3.641666667,0.630797513
"FBgn0037603",9,5.548888889,0.629470721
"FBgn0035471",24,6.806666667,0.620837264
"FBgn0031231",30,4.632666667,0.615608463
"FBgn0037358",10,5.886,0.613996922
"FBgn0052479",8,3.365,0.611271989
"FBgn0031298",5,4.992,0.581096626
"FBgn0000546",10,3.338,0.576294758
"FBgn0025777",13,5.92,0.558611361
"FBgn0035111",20,5.63027027,0.556629851
"FBgn0000018",7,4.53,0.545372578
"FBgn0031398",8,3.57,0.541980482
"FBgn0053094",10,4.79,0.537488494
"FBgn0004436",9,4.765714286,0.536181636
"FBgn0010704",7,4.58,0.524918335
"FBgn0003882",14,3.596585366,0.516108561
"FBgn0262117",16,6.58047619,0.512962801
"FBgn0259234",14,8.6,0.509357446
"FBgn0031374",7,6.642857143,0.493747928
"FBgn0033010",11,6.580909091,0.488551808
"FBgn0003444",27,6.581481481,0.475327748
"FBgn0051619",10,7.106666667,0.451872035
"FBgn0015546",12,6.6,0.443609191
"FBgn0016119",8,6.646666667,0.442185001
"FBgn0037270",21,5.397692308,0.438933463
"FBgn0264574",5,5.682,0.437190314
"FBgn0017457",6,5.873333333,0.435617297
"FBgn0262115",15,4.59097561,0.424261791
"FBgn0037199",12,6.455,0.423478259
"FBgn0051344",6,6.82,0.418297547
"FBgn0260862",13,6.5,0.393665701
"FBgn0035102",27,6.511111111,0.39232358
"FBgn0024945",11,6.629,0.380958207
"FBgn0259212",8,6.48,0.380935135
"FBgn0035109",15,6.660338983,0.38035687
"FBgn0262169",21,6.514285714,0.376044006
"FBgn0015834",20,6.466666667,0.371358291
"FBgn0000464",11,7.2,0.358073399
"FBgn0260798",27,8.456,0.355711208
"FBgn0031663",9,7.28,0.348188606
"FBgn0029117",14,7.48,0.343351922
"FBgn0035136",13,7.453333333,0.343324475
"FBgn0035247",19,10.612105263,0.335424051
"FBgn0028539",12,8.805,0.32852482
"FBgn0035983",9,8.506666667,0.327507
"FBgn0031260",5,6.793333333,0.32637287
"FBgn0020248",5,7.792,0.31213163
"FBgn0037299",9,6.642222222,0.311490227
"FBgn0033961",13,7.5,0.309141337
"FBgn0067779",10,6.579571429,0.308426519
"FBgn0037282",16,6.38125,0.305610495
"FBgn0025806",5,6.628,0.297528287
"FBgn0031418",9,6.913333333,0.296519787
"FBgn0019949",7,6.374285714,0.280498721
"FBgn0260799",20,4.668571429,0.27982537
"FBgn0026372",13,8.498461538,0.278814758
"FBgn0034792",12,5.85,0.274155496
"FBgn0033912",8,4.733333333,0.272698863
"FBgn0262116",6,3.633623188,0.271763465
"FBgn0031270",22,6.688636364,0.270039874
"FBgn0031296",10,6.478,0.268733987
"FBgn0037244",21,6.72952381,0.261255815
"FBgn0037251",16,6.729285714,0.259169557
"FBgn0024912",7,4.8375,0.257905112
"FBgn0085203",20,4.556,0.25450094
"FBgn0027866",6,4.647246377,0.249334456
"FBgn0039213",10,4.564,0.248938802
"FBgn0039126",20,5.984,0.247640642
"FBgn0028952",9,5.457777778,0.243420747
"FBgn0020305",6,5.673333333,0.242533528
"FBgn0051658",13,5.730769231,0.222337138
"FBgn0033060",7,7.1,0.218834406
"FBgn0031281",7,4.415714286,0.21830074
"FBgn0039764",7,4.92,0.209500851
"FBgn0031229",30,7.510333333,0.209259605
"FBgn0002622",15,5.396,0.198692518
"FBgn0261261",7,7.82,0.193863253
"FBgn0053635",6,5.508888889,0.189725737
"FBgn0025676",8,7.59875,0.185123652
"FBgn0037351",26,5.57,0.183407688
"FBgn0037231",13,4.685263158,0.172679134
"FBgn0026417",23,3.629565217,0.16635007
"FBgn0034572",5,6.368,0.163626256
"FBgn0037330",4,6.99,0.163227789
"FBgn0260936",15,6.750909091,0.162976399
"FBgn0032957",32,7.106666667,0.159835266
"FBgn0003076",6,5.506666667,0.156287694
"FBgn0034493",13,7.653333333,0.131586968
"FBgn0010602",16,3.593333333,0.128537
"FBgn0263594",30,5.616666667,0.12290794
"FBgn0035254",11,3.727272727,0.113935315
"FBgn0037263",18,5.754444444,0.112886078
"FBgn0035141",7,4.705,0.108084051
"FBgn0000289",13,4.54,0.106532679
"FBgn0045035",9,3.933333333,0.104992697
"FBgn0035194",21,5.671428571,0.104749223
"FBgn0010909",13,5.626666667,0.09211316
"FBgn0037876",6,6.773333333,0.085421597
"FBgn0038111",7,7.3,0.078351658
"FBgn0003512",10,6.496666667,0.076496302
"FBgn0011227",5,6.728,0.067213673
"FBgn0001086",11,6.63,0.056309168
"FBgn0035162",8,6.3775,0.053208712
"FBgn0034579",13,6.94,0.045814484
"FBgn0037249",15,6.637068966,0.044165421
"FBgn0035169",9,5.902222222,0.043407497
"FBgn0037235",26,4.605405405,0.02937026
"FBgn0031227",16,3.58125,0.029091632
"FBgn0032821",6,3.736666667,0.026883297
"FBgn0037220",21,3.626818182,0.023183439
"FBgn0025286",9,4.82,0.009269616
"FBgn0024806",15,6.670666667,0.008597242
"FBgn0036998",10,5.973333333,0.007407933
"FBgn0015331",17,5.562916667,0.006672197
"FBgn0016034",13,7.28,0.956536598
"FBgn0002673",3,5.186666667,0.940171802
"FBgn0033050",3,3.246666667,0.927903119
"FBgn0250850",13,3.293333333,0.924150289
"FBgn0033236",13,3.226666667,0.920457063
"FBgn0036887",3,3.82,0.920325775
"FBgn0032172",14,6.61,0.916138799
"FBgn0029092",14,6.13,0.9113849
"FBgn0020620",3,3.426666667,0.909260014
"FBgn0031284",3,4.733333333,0.894624598
"FBgn0036927",15,4.444,0.889528909
"FBgn0031573",18,7.68,0.88536991
"FBgn0039554",13,5.313333333,0.884280012
"FBgn0033055",4,4.39,0.874692938
"FBgn0053145",4,3.115,0.869780075
"FBgn0260972",3,5.74,0.866531647
"FBgn0000158",18,4.61,0.849864353
"FBgn0031739",3,4.093333333,0.848114892
"FBgn0020545",15,3.512,0.834748469
"FBgn0038745",6,3.333333333,0.831474412
"FBgn0002901",14,3.386666667,0.822963082
"FBgn0027579",15,4.136,0.812835088
"FBgn0032214",5,4.448,0.812413859
"FBgn0051523",4,5.235,0.809928858
"FBgn0024510",4,3.2775,0.805367055
"FBgn0026570",6,6.553333333,0.795041552
"FBgn0036908",10,7.5,0.7840665
"FBgn0038805",30,7.093333333,0.770451372
"FBgn0035209",4,3.4,0.763095908
"FBgn0262110",15,3.425,0.758603128
"FBgn0046247",10,4.873333333,0.747129624
"FBgn0026616",25,3.74,0.747019225
"FBgn0034269",3,5.473333333,0.725620576
"FBgn0038424",15,6.546666667,0.718386858
"FBgn0002031",13,4.753333333,0.71707806
"FBgn0027495",14,3.34,0.707988671
"FBgn0033273",13,3.346666667,0.702475032
"FBgn0037620",9,3.2,0.680215962
"FBgn0031741",13,7.093333333,0.671577481
"FBgn0038425",9,4.546666667,0.654956802
"FBgn0031310",3,3.226666667,0.65437917
"FBgn0033015",9,5.472,0.654324696
"FBgn0051109",4,4.38,0.653105759
"FBgn0051852",7,5.28,0.647130451
"FBgn0027493",10,4.36,0.642017458
"FBgn0039710",10,5.528,0.633533227
"FBgn0000662",3,4.153333333,0.628870762
"FBgn0023000",3,3.8,0.620522615
"FBgn0033377",4,4.445,0.609107289
"FBgn0022985",13,3.58,0.606583383
"FBgn0033479",8,4.413333333,0.605227641
"FBgn0016078",3,4.533333333,0.604416234
"FBgn0001202",11,3.626666667,0.602110937
"FBgn0036735",3,5.633333333,0.596489926
"FBgn0031401",3,4.426666667,0.593023572
"FBgn0002044",3,3.553333333,0.587906376
"FBgn0034945",12,4.28,0.58646039
"FBgn0062440",6,5.36,0.585348674
"FBgn0038816",7,5.593333333,0.575563371
"FBgn0010620",4,3.27,0.575302128
"FBgn0035151",3,3.546666667,0.571687767
"FBgn0038721",4,3.4325,0.566427853
"FBgn0040823",4,5.315,0.566162606
"FBgn0034590",4,3.13,0.561021849
"FBgn0037671",7,3.186666667,0.559794465
"FBgn0016031",3,4.313333333,0.558851004
"FBgn0039302",6,3.7,0.55783555
"FBgn0001224",3,4.06,0.546212691
"FBgn0033427",6,5.59,0.544822333
"FBgn0035906",6,5.445,0.543292172
"FBgn0261854",4,3.52,0.537130453
"FBgn0022069",3,4.36,0.527438824
"FBgn0250785",3,6.373333333,0.522272372
"FBgn0001225",3,3.06,0.519352217
"FBgn0031247",7,4.628571429,0.517622923
"FBgn0036258",3,4.34,0.505569004
"FBgn0035210",3,4.513333333,0.504598598
"FBgn0016691",3,3.78,0.499355661
"FBgn0035600",3,4.313333333,0.496423657
"FBgn0020270",7,3.208571429,0.494891546
"FBgn0035639",3,3.873333333,0.492923997
"FBgn0032847",3,4.466666667,0.47648776
"FBgn0052068",4,4.335,0.476247536
"FBgn0034800",4,3.215,0.476207648
"FBgn0033052",4,3.39,0.449786128
"FBgn0031479",3,4.406666667,0.433288573
"FBgn0250791",4,3.255,0.432837955
"FBgn0037009",4,5.45,0.426577831
"FBgn0033039",4,3.605,0.422511228
"FBgn0085229",10,5.418,0.417155767
"FBgn0085242",15,4.192,0.417072533
"FBgn0032515",14,3.71,0.413152768
"FBgn0037377",14,4.535,0.406190447
"FBgn0003279",10,3.313333333,0.404904969
"FBgn0035393",3,6.386666667,0.402341667
"FBgn0014092",4,4.41,0.392446756
"FBgn0067864",15,8.426,0.381332459
"FBgn0043841",7,4.297142857,0.380661115
"FBgn0024958",13,3.246666667,0.37974417
"FBgn0260049",13,5.653333333,0.376847226
"FBgn0036509",11,4.25,0.366042925
"FBgn0035211",6,3.265,0.361347049
"FBgn0035251",4,3.455,0.357075042
"FBgn0051739",13,3.5,0.355149822
"FBgn0264331",11,8.287272727,0.344057243
"FBgn0026718",13,4.426666667,0.343041562
"FBgn0040323",4,3.2,0.33507163
"FBgn0033374",4,6.525,0.326130721
"FBgn0033380",3,3.226666667,0.311016697
"FBgn0028473",13,3.34,0.307851857
"FBgn0031830",13,3.926666667,0.3020018
