Gene_Name,Number_of_binding_site,Strenght_of_binding,Expression_covariation
FBgn0035207,6,6.47,0.785959878
FBgn0037710,3,7.31,0.782354871
FBgn0000166,10,7.86,0.779332614
FBgn0020545,7,8.041428571,0.765563655
FBgn0001142,12,9.305,0.764918746
FBgn0026576,14,9.345,0.753985942
FBgn0039350,4,7.405,0.748628989
FBgn0035641,4,8.57,0.748286239
FBgn0026400,13,6.67,0.74403145
FBgn0263933,4,7.4125,0.736358483
FBgn0250746,9,8.665555556,0.730126713
FBgn0003138,5,8.448,0.72991206
FBgn0037327,8,8.22375,0.729562795
FBgn0031233,8,7.70625,0.719572086
FBgn0051072,3,6.596666667,0.718863585
FBgn0037780,3,9.08,0.716796979
FBgn0031244,5,5.874,0.716780937
FBgn0037239,17,9.123703704,0.715401689
FBgn0026598,3,6.51,0.714585063
FBgn0037555,4,6.525,0.703273151
FBgn0035238,6,7.778333333,0.699650884
FBgn0051549,5,6.186,0.697256528
FBgn0031284,3,6.523333333,0.695367304
FBgn0031213,21,9.033,0.68621736
FBgn0040064,3,8.023333333,0.681735031
FBgn0037252,25,6.976969697,0.677582495
FBgn0051523,4,7.345,0.670046779
FBgn0261938,4,6.81,0.663682261
FBgn0024957,3,9.276666667,0.662079707
FBgn0259978,3,9.15,0.657434115
FBgn0031231,19,6.834736842,0.655875034
FBgn0039341,4,6.425,0.653254876
FBgn0004611,3,8.223333333,0.651466193
FBgn0000158,4,6.325,0.646680269
FBgn0037312,14,8.342857143,0.641080285
FBgn0035642,14,8.57,0.639450065
FBgn0020386,25,7.134333333,0.637325469
FBgn0036921,3,6.103333333,0.625663117
FBgn0035166,8,7.045,0.620072287
FBgn0037218,10,7.524,0.613005485
FBgn0014001,3,6.67,0.612608382
FBgn0037354,5,6.186,0.612467502
FBgn0005278,20,7.257272727,0.610430028
FBgn0037566,3,6.51,0.607942644
FBgn0027514,3,7.78,0.602089685
FBgn0086130,3,6.306666667,0.597317923
FBgn0027579,4,9.545,0.590497043
FBgn0037236,21,8.269666667,0.58736909
FBgn0010333,18,8.46375,0.586627699
FBgn0035204,9,8.97,0.586458201
FBgn0028436,4,6.7875,0.586134899
FBgn0046247,4,6.995,0.58507496
FBgn0037472,3,6.543333333,0.583327751
FBgn0039773,3,6.473333333,0.579864904
FBgn0033715,4,6.33,0.578352621
FBgn0037370,5,6.894,0.576506738
FBgn0037234,17,6.998823529,0.576023181
FBgn0086605,24,7.066666667,0.567343215
FBgn0262473,4,7.3,0.566866565
FBgn0036566,3,6.74,0.55938812
FBgn0037298,5,6.066,0.558914637
FBgn0051453,3,6.926666667,0.554829308
FBgn0014931,13,7.603333333,0.55457104
FBgn0039711,5,8.28,0.552007057
FBgn0035107,25,6.544210526,0.5459237
FBgn0024510,6,5.863333333,0.543316263
FBgn0039305,3,6.533333333,0.540311133
FBgn0039698,3,6.716666667,0.537667019
FBgn0037232,25,7.912,0.53458323
FBgn0086912,12,6.979166667,0.530020913
FBgn0024329,4,6.74,0.529229397
FBgn0039868,4,8.69,0.528250958
FBgn0037620,4,6.97,0.524116261
FBgn0051109,3,6.536666667,0.523265713
FBgn0039403,4,6.475,0.520254023
FBgn0032997,4,7.555,0.518313828
FBgn0250830,7,6.957142857,0.514040111
FBgn0035151,4,6.41,0.511163478
FBgn0031247,5,6.384,0.510173194
FBgn0260755,4,6.19,0.509747484
FBgn0039710,4,7.495,0.506549506
FBgn0034312,3,7.223333333,0.498976417
FBgn0027587,9,6.934375,0.4875014
FBgn0250785,4,7.35,0.48211918
FBgn0037894,5,7.562,0.479535648
FBgn0016119,4,6.435,0.476179102
FBgn0039862,4,7.3,0.474277577
FBgn0261789,3,6.67,0.471658952
FBgn0010620,3,6.456666667,0.47041664
FBgn0040466,4,6.705,0.470177436
FBgn0037634,3,6.973333333,0.457537601
FBgn0035247,6,6.925,0.449726403
FBgn0035102,17,6.638148148,0.449043409
FBgn0039465,4,8.105,0.448813495
FBgn0260874,3,6.48,0.447189027
FBgn0037671,3,6.63,0.443123093
