"Gene_Name","Number_of_binding_site","Average_strength_of_binding","Expression_covariation"
"FBgn0011204",13,6.93,0.966048805
"FBgn0037327",11,8.69,0.953139252
"FBgn0261862",16,9.5,0.947727422
"FBgn0035207",10,5.93,0.944905395
"FBgn0031233",28,7.53,0.942680341
"FBgn0026238",15,10.5,0.939698414
"FBgn0015360",16,8.53,0.936690161
"FBgn0036117",3,5.74,0.932292221
"FBgn0259978",12,8.48,0.930475188
"FBgn0036484",22,10.5,0.929382591
"FBgn0039350",6,8.07,0.928438627
"FBgn0027453",23,3.48,0.908214955
"FBgn0259247",8,7.93,0.904518148
"FBgn0001142",5,10.74,0.902447611
"FBgn0003138",3,10.22,0.896276401
"FBgn0260439",15,14.03,0.892528277
"FBgn0027507",4,3.48,0.887401619
"FBgn0005278",3,6.69,0.887051261
"FBgn0037376",16,9.69,0.885395086
"FBgn0038149",5,4.03,0.877364369
"FBgn0004611",3,11.48,0.876796129
"FBgn0026576",9,4.03,0.87572029
"FBgn0037236",15,9.5,0.871747834
"FBgn0037218",5,9.44,0.858324792
"FBgn0037074",15,8.48,0.856668918
"FBgn0000146",13,7.94,0.8558381
"FBgn0040005",3,3.48,0.853439947
"FBgn0261387",3,3.5,0.84912533
"FBgn0037252",8,8.03,0.84660979
"FBgn0261938",3,3.53,0.840857809
"FBgn0051457",8,5.74,0.835701296
"FBgn0043458",9,8.55,0.832733636
"FBgn0263236",4,10.74,0.820869166
"FBgn0250746",8,3.5,0.817387024
"FBgn0039994",3,3.48,0.816311365
"FBgn0020386",5,4.03,0.815140869
"FBgn0038432",3,4.74,0.814513317
"FBgn0033005",27,9.55,0.813920036
"FBgn0264712",9,4.79,0.810925515
"FBgn0000250",4,6.07,0.810424355
"FBgn0037234",14,4.03,0.809912559
"FBgn0037239",7,7.48,0.806429848
"FBgn0035238",7,3.66,0.80285477
"FBgn0037653",3,3.48,0.795448705
"FBgn0031244",8,5.09,0.791838578
"FBgn0035165",5,3.53,0.785158172
"FBgn0031213",4,4.88,0.784880595
"FBgn0037298",11,3.66,0.767022226
"FBgn0039711",5,3.55,0.763307875
"FBgn0039740",5,3.66,0.760040374
"FBgn0031660",5,4.29,0.754493452
"FBgn0086130",4,4.03,0.749143079
"FBgn0261698",4,3.48,0.743274333
"FBgn0037369",16,3.55,0.739370997
"FBgn0002284",12,11.48,0.738239077
"FBgn0037232",3,6.48,0.737487845
"FBgn0003015",3,5.11,0.736860457
"FBgn0052109",4,11.48,0.733661215
"FBgn0039112",7,6.93,0.722236691
"FBgn0037312",10,4.07,0.721619063
"FBgn0010333",6,3.5,0.709812836
"FBgn0260755",3,3.93,0.70565638
"FBgn0259791",5,3.64,0.699033855
"FBgn0037339",5,3.55,0.698039398
"FBgn0033000",4,6.48,0.693779126
"FBgn0035166",19,8.44,0.690865285
"FBgn0263697",4,4.24,0.685758328
"FBgn0086912",7,3.93,0.685083524
"FBgn0028436",3,3.5,0.679561448
"FBgn0040466",3,9.48,0.67536915
"FBgn0031360",26,3.48,0.673017839
"FBgn0086605",8,4.03,0.669608039
"FBgn0032997",3,3.93,0.668118286
"FBgn0261985",4,6.32,0.666151828
"FBgn0037379",3,3.55,0.662937013
"FBgn0028372",7,3.55,0.655842362
"FBgn0010355",9,5.74,0.653478212
"FBgn0027587",10,3.48,0.649518274
"FBgn0250830",8,4.2,0.648200124
"FBgn0035204",3,6.53,0.64691706
"FBgn0053158",4,7.48,0.633676974
"FBgn0035107",5,4.02,0.630825731
"FBgn0004373",8,4.02,0.630797513
"FBgn0037603",5,5.74,0.629470721
"FBgn0035471",3,5.84,0.620837264
"FBgn0031231",24,3.48,0.615608463
"FBgn0037358",9,3.93,0.613996922
"FBgn0052479",3,8.48,0.611271989
"FBgn0031298",3,3.5,0.581096626
"FBgn0000546",3,3.64,0.576294758
"FBgn0025777",4,7.48,0.558611361
"FBgn0035111",5,3.55,0.556629851
"FBgn0000018",4,6.2,0.545372578
"FBgn0031398",3,3.48,0.541980482
"FBgn0053094",3,4.07,0.537488494
"FBgn0004436",3,3.5,0.536181636
"FBgn0010704",4,3.93,0.524918335
