Gene_Name,Number_of_binding_site,Strenght_of_binding,Expression_covariation
FBgn0037299,21,3.5,0.311490227
FBgn0037218,20,3.93,0.858324792
FBgn0020386,19,11.48,0.815140869
FBgn0262117,19,9.48,0.512962801
FBgn0000057,19,8.69,0.823068773
FBgn0027587,19,6.48,0.649518274
FBgn0037358,19,3.93,0.613996922
FBgn0086912,19,3.55,0.685083524
FBgn0037282,19,3.5,0.305610495
FBgn0010355,18,11.48,0.653478212
FBgn0035107,18,11.48,0.630825731
FBgn0037234,18,8.48,0.809912559
FBgn0262115,18,7.48,0.424261791
FBgn0035109,18,7.48,0.38035687
FBgn0035111,18,6.48,0.556629851
FBgn0262116,18,5.48,0.271763465
FBgn0005278,18,3.5,0.887051261
FBgn0037239,18,3.5,0.806429848
FBgn0067779,17,11.48,0.308426519
FBgn0037251,17,9.48,0.259169557
FBgn0001180,17,7.48,0.739370997
FBgn0037249,17,5.48,0.044165421
FBgn0026238,17,3.93,0.939698414
FBgn0032997,17,3.55,0.668118286
FBgn0031244,17,3.5,0.791838578
FBgn0037236,17,3.48,0.871747834
FBgn0037231,17,3.48,0.172679134
FBgn0037746,16,5.74,0.80257183
FBgn0003444,16,3.55,0.475327748
FBgn0010333,16,3.53,0.709812836
FBgn0035203,16,3.53,-0.305157013
FBgn0031233,16,3.5,0.942680341
FBgn0031231,16,3.5,0.615608463
FBgn0003882,16,3.5,0.516108561
FBgn0086605,16,3.48,0.669608039
FBgn0053635,16,3.48,0.189725737
FBgn0024510,15,4.03,0.805367055
FBgn0033010,15,4.03,0.488551808
FBgn0046222,15,3.93,-0.23542655
FBgn0033052,15,3.55,0.449786128
FBgn0035194,15,3.55,0.104749223
FBgn0001142,15,3.48,0.902447611
FBgn0035102,15,3.48,0.39232358
FBgn0037250,15,3.48,-0.621441965
FBgn0037235,14,7.48,0.02937026
FBgn0086130,14,6.07,0.749143079
FBgn0037298,14,4.03,0.767022226
FBgn0031247,14,3.93,0.517622923
FBgn0031229,14,3.48,0.209259605
FBgn0020622,14,3.48,-0.500056855
FBgn0263346,13,6.66,-0.080260267
FBgn0020545,13,4.69,0.834748469
FBgn0051658,13,4.07,0.222337138
FBgn0250746,13,4.03,0.817387024
FBgn0035207,13,3.93,0.944905395
FBgn0035166,13,3.66,0.690865285
