Gene_Name,Number_of_binding_site,Strenght_of_binding,Expression_covariation
FBgn0037364,6,6.5,-0.50446205
FBgn0052476,5,6.5,-0.279808782
FBgn0031233,17,8.1,0.673046142
FBgn0250830,7,8.1,0.328449402
FBgn0035140,3,6.1,-0.228388459
FBgn0037371,7,7.06,-0.621334114
FBgn0037312,5,8.06,0.473250638
FBgn0013983,4,7.06,-0.558061534
FBgn0035166,10,7.93,0.41956507
FBgn0013342,8,6.93,-0.241984227
FBgn0264712,7,7.93,0.590053424
FBgn0031286,7,7.93,-0.456317345
FBgn0033005,6,7.93,0.58176144
FBgn0032997,6,7.93,0.379612946
FBgn0263346,5,7.93,-0.011531491
FBgn0035247,5,7.93,0.349342967
FBgn0037265,4,6.93,-0.302139391
FBgn0035195,4,7.93,-0.590060551
FBgn0035248,3,7.93,-0.370299211
FBgn0037235,18,7.91,-0.176818994
FBgn0024806,7,7.91,0.023313682
FBgn0004611,4,7.91,0.690190246
FBgn0037341,3,7.91,0.671138707
FBgn0020279,3,7.91,-0.077913664
FBgn0004635,10,7.83,-0.631290947
FBgn0037391,7,7.83,-0.516044744
FBgn0036484,4,7.83,0.755174514
FBgn0085229,4,7.83,0.335600629
FBgn0031294,4,7.83,-0.052300191
FBgn0052343,4,7.83,-0.521049448
FBgn0031284,8,7.66,0.699143679
FBgn0010583,7,7.66,0.017903686
FBgn0037270,6,7.66,0.221813604
FBgn0031270,6,7.66,0.108674418
FBgn0033062,6,7.66,-0.281657151
FBgn0010323,5,7.66,-0.349354252
FBgn0035144,3,7.66,-0.309574953
FBgn0035152,3,7.66,-0.568225801
FBgn0000071,8,7.61,-0.689969399
FBgn0035229,5,7.61,-0.55023862
FBgn0027493,3,7.61,0.275031638
FBgn0031359,5,7.57,-0.556669514
FBgn0031360,5,7.57,0.522314513
FBgn0036257,3,7.56,0.17990703
FBgn0039994,6,7.54,0.701045621
FBgn0020766,3,7.54,-0.708196712
FBgn0039663,3,7.54,-0.051947694
FBgn0039667,3,7.54,-0.343091243
FBgn0051522,6,7.52,-0.449225997
FBgn0034312,3,7.52,0.262602031
FBgn0000543,3,7.52,-0.469480324
FBgn0015360,3,7.52,0.693844521
FBgn0026372,5,7.49,0.054694182
FBgn0038037,3,7.49,-0.352554197
FBgn0021776,3,7.49,-0.665322639
