Gene_Name,Number_of_binding_site,Strenght_of_binding,Expression_covariation
FBgn0033038,3,8.59,-0.322619341
FBgn0250746,7,9.19,0.675599128
FBgn0031247,4,9.19,0.590450787
FBgn0035166,4,8.69,0.503351496
FBgn0034579,4,8.49,0.494604513
FBgn0015360,9,8.69,0.488002601
FBgn0035194,4,9.19,0.429692191
FBgn0035251,3,8.51,0.413426177
FBgn0000261,5,9.19,0.410329846
FBgn0033015,4,8.38,0.37642203
FBgn0259978,3,8.65,0.358429613
FBgn0032172,4,9.19,0.353800806
FBgn0250830,4,8.62,0.307832926
FBgn0014002,4,9.19,0.280142224
FBgn0004436,4,9.19,0.258166992
FBgn0031296,9,8.59,0.238726057
FBgn0034999,4,9.19,0.214143375
FBgn0034405,6,9.19,0.188121943
FBgn0038407,8,9.19,0.17758827
FBgn0001077,4,8.71,0.177244264
FBgn0010750,6,8.56,0.132023627
FBgn0035233,6,8.41,0.119437887
FBgn0022069,3,8.69,0.119055469
FBgn0010053,3,8.48,0.065262943
FBgn0035120,3,9.19,-0.025066626
FBgn0035325,4,9.19,-0.032307356
FBgn0261286,3,9.19,-0.090851214
FBgn0050285,4,9.19,-0.102439348
FBgn0037282,4,9.19,-0.133238771
FBgn0037224,3,9.19,-0.152067016
FBgn0041097,4,9.19,-0.166211608
FBgn0035132,3,9.19,-0.166422913
FBgn0032221,3,9.19,-0.170964586
FBgn0000543,4,9.19,-0.181750788
FBgn0034744,3,9.19,-0.206154901
FBgn0086695,6,9.19,-0.215122487
FBgn0035203,3,9.19,-0.223238589
FBgn0003430,3,9.19,-0.509219691
FBgn0010651,3,9.19,-0.509310819
FBgn0053554,4,9.19,-0.538295621
FBgn0022893,3,9.19,-0.538353866
FBgn0004635,4,9.19,-0.5501084
FBgn0086605,12,9.12,0.498015661
FBgn0037312,9,9.09,0.596319396
FBgn0005278,20,9.076486486,0.435378963
FBgn0086912,6,9.073333333,0.338659666
FBgn0004611,6,9.073333333,0.313609616
FBgn0031238,6,9.073333333,0.030017322
FBgn0003444,6,9.073333333,0.01329301
FBgn0086758,6,9.073333333,-0.117460143
FBgn0031216,5,9.062727273,-0.672023906
FBgn0037369,5,9.05,0.656395168
FBgn0037225,15,9.05,0.012758055
FBgn0031399,5,9.05,-0.118403085
FBgn0035113,15,9.05,-0.456751547
FBgn0035111,14,9.04,0.171043769
FBgn0037236,18,9.034444444,0.542867703
FBgn0037232,15,9.003333333,0.319428324
FBgn0037240,6,8.99,-0.502716346
FBgn0037251,10,8.98,0.129659531
FBgn0031220,15,8.98,-0.155351552
FBgn0027930,11,8.974615385,-0.359312176
FBgn0020545,6,8.956666667,0.62706
FBgn0001142,6,8.956666667,0.585024242
FBgn0034688,3,8.956666667,0.555373447
FBgn0036927,3,8.956666667,0.552076613
FBgn0037341,3,8.956666667,0.521833687
FBgn0040466,3,8.956666667,0.431166438
FBgn0053145,3,8.956666667,0.416497466
FBgn0035151,3,8.956666667,0.411585405
FBgn0037298,3,8.956666667,0.40532259
FBgn0033005,3,8.956666667,0.370598983
FBgn0260862,6,8.956666667,0.297716132
FBgn0035181,3,8.956666667,0.293476924
FBgn0035298,12,8.956666667,0.201913978
FBgn0085203,3,8.956666667,0.183854681
FBgn0014366,3,8.956666667,0.134740793
FBgn0037372,6,8.956666667,-0.001985189
FBgn0037853,3,8.956666667,-0.003187756
FBgn0004870,3,8.956666667,-0.012782472
FBgn0035199,3,8.956666667,-0.034024196
FBgn0034691,3,8.956666667,-0.077091783
FBgn0031251,12,8.956666667,-0.20120113
FBgn0260648,3,8.956666667,-0.331497859
FBgn0032202,3,8.956666667,-0.429535766
FBgn0010323,3,8.956666667,-0.471237267
FBgn0264493,3,8.956666667,-0.618636572
FBgn0004603,3,8.956666667,-0.625500806
FBgn0261574,3,8.956666667,-0.664538582
FBgn0000497,3,8.956666667,-0.704974664
FBgn0262116,17,8.941612903,0.490794202
