Gene_Name,Number_of_binding_site,Strenght_of_binding,Expression_covariation
FBgn0035207,3,8.236666667,0.872290782
FBgn0000166,11,8.409090909,0.86995066
FBgn0037327,6,7.076666667,0.856201326
FBgn0011204,3,6.976666667,0.851009748
FBgn0001142,13,7.133846154,0.843540331
FBgn0027507,5,8.212,0.831504593
FBgn0031233,12,7.334166667,0.828067116
FBgn0003138,5,7.084,0.827757975
FBgn0026238,4,7.04,0.821802599
FBgn0002673,3,8.716666667,0.819166261
FBgn0044823,3,7.273333333,0.815122882
FBgn0004611,4,7.0825,0.795021277
FBgn0033005,4,7.9125,0.790374189
FBgn0020386,9,7.333958333,0.789197209
FBgn0036927,3,7.506666667,0.787963438
FBgn0264305,4,7.905,0.787647366
FBgn0261938,6,6.966666667,0.78313424
FBgn0020545,19,6.464444444,0.778811353
FBgn0261387,3,6.576666667,0.775312346
FBgn0043458,9,7.033333333,0.770411391
FBgn0036117,4,7.305,0.766518937
FBgn0037234,10,8.121388889,0.754783645
FBgn0037218,12,8.495833333,0.753983473
FBgn0033055,3,6.376666667,0.750162448
FBgn0000250,4,6.75,0.746394378
FBgn0037239,11,6.979722222,0.746232189
FBgn0037614,3,6.553333333,0.743639956
FBgn0031284,6,7.3,0.742093423
FBgn0037252,10,6.842307692,0.738209821
FBgn0086445,5,7.614,0.736829392
FBgn0036921,4,7.17,0.735661427
FBgn0037341,3,8.16,0.73473274
FBgn0051643,3,6.94,0.733427657
FBgn0005278,17,6.923859649,0.731401493
FBgn0037109,3,8.363333333,0.727416621
FBgn0250746,3,6.346666667,0.724995382
FBgn0051549,3,6.783333333,0.716925285
FBgn0264712,4,6.945,0.71569384
FBgn0031213,11,7.462631579,0.715522565
FBgn0035165,13,6.543333333,0.71065925
FBgn0014931,5,8.194,0.708681339
FBgn0010333,9,7.073333333,0.701523979
FBgn0031244,14,7.156428571,0.683530312
FBgn0027587,18,7.20673913,0.678963461
FBgn0035166,8,8.06,0.678279105
FBgn0037232,11,7.31027027,0.678126041
FBgn0035121,3,6.466666667,0.67447081
FBgn0015324,3,7.143333333,0.668638631
FBgn0086912,12,8.613333333,0.665015347
FBgn0033177,13,7.39,0.662405347
FBgn0036661,3,6.91,0.661571152
FBgn0086130,7,6.917142857,0.653187571
FBgn0037236,18,7.016857143,0.651086405
FBgn0002031,3,6.356666667,0.649769645
FBgn0024510,5,8.328,0.640858131
FBgn0031381,4,8.445,0.63370832
FBgn0010355,9,7.08,0.632652086
FBgn0035155,3,6.556666667,0.62645048
FBgn0037369,5,7.362,0.618529665
FBgn0260755,3,7.2,0.61766118
FBgn0037894,4,7.25,0.608766387
FBgn0051360,4,7.525,0.606139807
FBgn0031401,3,7.37,0.605922233
FBgn0052479,5,7.274,0.604550276
FBgn0037312,6,6.411666667,0.603666637
FBgn0031310,6,6.806666667,0.595550254
FBgn0004373,5,7.088,0.590966991
FBgn0032997,9,7.097777778,0.585178794
FBgn0037298,5,6.866,0.578043726
FBgn0037370,3,7.353333333,0.567863458
FBgn0031231,19,8.111578947,0.567263081
FBgn0051453,3,6.196666667,0.565306067
FBgn0086605,16,8.074,0.564715643
FBgn0250830,7,7.507142857,0.545574924
FBgn0033814,3,6.946666667,0.54531478
FBgn0033010,3,7.19,0.543640112
FBgn0033015,7,6.781428571,0.542698562
FBgn0260874,3,7.12,0.541387259
FBgn0261985,3,6.893333333,0.541126491
FBgn0031298,4,7.1825,0.533739047
FBgn0031360,5,8.4,0.5326024
FBgn0023000,4,6.285,0.532237212
FBgn0032644,3,7.78,0.529187914
FBgn0004436,4,7.03,0.527277853
FBgn0034360,3,7.55,0.52027137
FBgn0259234,4,6.565,0.519427612
FBgn0262125,5,6.8,0.516445602
FBgn0262117,18,8.054857143,0.516153471
FBgn0264307,4,6.905,0.503391806
FBgn0031247,6,7.931666667,0.503213448
FBgn0035111,16,7.889,0.493275023
FBgn0051852,4,6.95,0.485662064
FBgn0086694,3,6.416666667,0.467926261
FBgn0035107,17,7.258510638,0.461259247
FBgn0037358,9,6.637777778,0.448116497
FBgn0003444,13,6.699230769,0.444638283
FBgn0036353,3,8.49,0.434939117
FBgn0003882,15,6.890789474,0.433622665
FBgn0026593,7,7.065714286,0.432612881
FBgn0052485,3,8.18,0.432607728
FBgn0085229,6,7.27,0.432568584
FBgn0028670,3,7.08,0.429699174
FBgn0035444,13,7.78,0.42393674
FBgn0052262,4,6.495,0.418916159
FBgn0035173,5,7.734,0.416755281
FBgn0259212,7,6.595714286,0.402211203
FBgn0034543,3,6.536666667,0.390103706
FBgn0035210,20,6.536666667,0.371130741
FBgn0031659,3,7.1,0.364796406
FBgn0260798,4,6.4725,0.36422063
FBgn0026718,3,6.563333333,0.361746864
FBgn0033052,6,6.936666667,0.361431606
FBgn0036671,3,6.33,0.359914689
FBgn0262115,14,7.041026393,0.358567452
FBgn0067779,11,7.153783784,0.355695895
FBgn0000464,3,7.223333333,0.350654572
FBgn0052068,3,7.916666667,0.347324
FBgn0067864,5,7.412,0.347229364
FBgn0032168,4,8.12,0.337083252
FBgn0037377,6,6.86,0.332941422
FBgn0037350,3,7.273333333,0.33069286
FBgn0261403,4,6.735,0.330527019
FBgn0260862,10,7.539,0.325861856
FBgn0035102,17,7.024117647,0.324987019
FBgn0017457,8,7.36125,0.318970624
FBgn0031479,3,7.936666667,0.315950067
FBgn0260799,10,7.715,0.303243514
FBgn0036134,3,6.643333333,0.296376468
FBgn0035251,7,7.548571429,0.29429958
FBgn0035211,9,7.222222222,0.292744357
FBgn0053635,16,6.818333333,0.292477617
FBgn0037270,4,7.5625,0.286810144
FBgn0024912,4,7.635,0.282652184
FBgn0027866,10,6.933589744,0.277590363
FBgn0035109,19,7.223023256,0.274070476
FBgn0264331,4,7.395,0.274014563
FBgn0020270,4,8.355,0.273198817
FBgn0035247,14,8.32,0.27109563
FBgn0028473,3,7.123333333,0.266296186
FBgn0015546,3,7.123333333,0.259747599
FBgn0035252,3,6.92,0.254030557
FBgn0039170,3,6.963333333,0.249699502
FBgn0020248,8,7.10375,0.245580934
FBgn0037299,10,6.845,0.241453339
FBgn0035213,3,6.823333333,0.24131524
FBgn0035164,3,7.27,0.234234653
FBgn0037251,23,7.135652174,0.231709953
