Gene_Name,Number_of_binding_site,Strenght_of_binding,Expression_covariation
FBgn0035207,8,6.59375,0.68142433
FBgn0035173,7,6.718571429,0.677291596
FBgn0262125,3,6.446666667,0.66595773
FBgn0261862,3,6.58,0.657029081
FBgn0040005,8,7.41,0.641255134
FBgn0027507,4,7.985,0.637641267
FBgn0037341,4,7.935,0.636392852
FBgn0037252,13,6.951041667,0.636330622
FBgn0043458,5,6.748,0.625737407
FBgn0020386,17,7.294716981,0.622016614
FBgn0261938,5,6.314,0.619206867
FBgn0026238,5,6.628,0.618431844
FBgn0001142,12,7.351666667,0.614459917
FBgn0000166,8,7.1075,0.609764279
FBgn0000158,4,7.935,0.608966698
FBgn0261387,3,7.71,0.608060116
FBgn0037327,6,6.851666667,0.607263958
FBgn0037239,19,7.1256,0.606956635
FBgn0051360,4,8.1125,0.601409186
FBgn0037336,6,7.013333333,0.60076191
FBgn0031233,20,6.798571429,0.596605486
FBgn0029088,3,9.01,0.596186589
FBgn0036927,3,7.456666667,0.591242656
FBgn0259978,3,8.21,0.586615427
FBgn0032997,10,6.84,0.585346172
FBgn0004611,3,7.573333333,0.583301477
FBgn0011204,5,6.776,0.576431855
FBgn0250830,4,6.825,0.572561481
FBgn0003138,8,7.2375,0.572544017
FBgn0264574,5,6.93,0.564345915
FBgn0031213,12,7.1415,0.558485623
FBgn0033005,3,7.273333333,0.554624481
FBgn0262473,3,7.94,0.552887806
FBgn0033453,3,7.353333333,0.549047141
FBgn0037218,7,7.467142857,0.547512198
FBgn0015360,4,6.565,0.544457623
FBgn0035238,5,7.226,0.541790013
FBgn0031284,6,7.321666667,0.535098999
FBgn0024510,10,7.915,0.534403261
FBgn0028670,3,7.34,0.528253471
FBgn0036484,3,7.263333333,0.528225613
FBgn0020545,7,6.522857143,0.52816306
FBgn0037370,5,6.934,0.52435229
FBgn0031457,3,6.83,0.520939394
FBgn0035166,7,7.502857143,0.519473426
FBgn0033055,7,6.598571429,0.512760393
FBgn0037234,12,6.934848485,0.504786968
FBgn0037232,11,7.118333333,0.50086766
FBgn0028708,3,6.896666667,0.498764961
FBgn0037653,3,8.363333333,0.498326861
FBgn0262110,6,7.12,0.49774174
FBgn0031374,5,6.968,0.496605314
FBgn0039994,6,7.436666667,0.494247094
FBgn0250785,3,6.736666667,0.491429246
FBgn0003612,3,6.643333333,0.487122632
FBgn0250746,8,6.47875,0.48678602
FBgn0037376,3,7.31,0.485886497
FBgn0031244,12,7.549166667,0.483088635
FBgn0037312,16,6.7275,0.475620368
FBgn0264712,4,6.8925,0.467429829
FBgn0019960,3,6.846666667,0.462677197
FBgn0033052,14,6.582142857,0.458965222
FBgn0035209,3,6.23,0.454541575
FBgn0035165,7,6.428571429,0.445261941
FBgn0010333,7,6.887142857,0.443174778
FBgn0010704,5,6.206,0.438446694
FBgn0000615,3,6.276666667,0.436971595
FBgn0086605,9,6.844482759,0.430643786
FBgn0031231,19,6.844210526,0.423244211
FBgn0004373,3,7.693333333,0.413140758
FBgn0005278,17,6.979189189,0.410173669
FBgn0262115,10,7.087306667,0.408869442
FBgn0032587,3,6.253333333,0.400345822
FBgn0031401,7,6.9,0.396116141
FBgn0035107,3,7.169302326,0.39024922
FBgn0264704,3,6.783333333,0.385111536
FBgn0026593,4,6.82,0.383069697
FBgn0031296,4,6.845,0.368667227
FBgn0260755,10,6.584,0.361788514
FBgn0036257,4,7.0425,0.360503958
FBgn0010620,3,6.503333333,0.347134991
FBgn0035210,3,6.746666667,0.346227076
FBgn0037240,20,7.270769231,0.34125369
FBgn0262970,3,6.87,0.339902301
FBgn0035109,12,6.87030303,0.331204396
FBgn0031298,4,6.865,0.330677446
FBgn0037298,3,9.156666667,0.325250519
FBgn0026417,7,6.732857143,0.32452091
FBgn0039711,3,6.77,0.323765683
FBgn0037251,13,7.286785714,0.32366485
FBgn0040466,3,7.71,0.319105317
FBgn0037236,10,7.0078125,0.318103452
FBgn0010355,3,7.06,0.315736455
FBgn0003016,3,6.473333333,0.313776424
FBgn0034803,3,7.653333333,0.312655331
FBgn0086912,17,7.264705882,0.311307542
FBgn0037299,6,7.14,0.304281428
FBgn0037009,5,7.366,0.30376371
FBgn0031247,7,7.151428571,0.300277522
FBgn0037358,14,7.455714286,0.294393494
FBgn0025693,6,7.208333333,0.288221079
FBgn0260799,9,7.192222222,0.288039557
FBgn0262117,16,6.749722222,0.279030643
FBgn0264331,6,6.686666667,0.278960662
FBgn0039302,4,6.935,0.277312457
FBgn0011211,3,6.76,0.273644107
FBgn0086130,4,7.655,0.270131553
FBgn0051481,7,6.578571429,0.268240621
FBgn0027587,12,7.074390244,0.261344101
FBgn0035204,6,6.518333333,0.26030211
FBgn0067864,9,7.031111111,0.259308064
FBgn0259234,4,7.275,0.248399896
FBgn0022702,5,7.838,0.247745841
FBgn0086906,4,6.9225,0.243272385
FBgn0263594,7,7.034193548,0.240890945
FBgn0035144,4,6.455,0.233738228
FBgn0052485,3,8.903333333,0.232497416
FBgn0039713,3,6.343333333,0.231966696
FBgn0035203,6,6.905,0.231273135
FBgn0067779,10,7.119677419,0.228363551
FBgn0262116,13,7.075957447,0.220056195
FBgn0035132,4,7.535,0.218594077
FBgn0035111,17,7.388235294,0.213801037
FBgn0027079,3,6.676666667,0.21297792
FBgn0262126,5,6.626,0.204485006
FBgn0035102,19,6.941071429,0.203039342
FBgn0041097,4,7.9,0.200170815
FBgn0037244,17,6.944705882,0.199960375
FBgn0035192,5,7.144,0.198132663
FBgn0040091,3,6.603333333,0.195381078
FBgn0260862,5,6.992,0.192253211
FBgn0015324,7,7.582857143,0.188937988
FBgn0031220,19,7.772631579,0.187474259
FBgn0031990,3,7.993333333,0.182163347
FBgn0033380,3,6.49,0.180533087
FBgn0033015,3,7.12,0.179794978
FBgn0034543,6,6.543333333,0.179529539
FBgn0036298,3,6.326666667,0.179485519
FBgn0026372,6,7.883333333,0.178228162
FBgn0033039,6,7.543333333,0.175340519
FBgn0259212,9,6.68,0.171241772
FBgn0035199,15,7.044666667,0.17067338
FBgn0264272,7,6.832857143,0.168942618
FBgn0035247,5,7.176,0.167498484
FBgn0085229,6,7.566666667,0.167012845
FBgn0034975,3,7.81,0.166572919
FBgn0031270,7,7.147142857,0.164904152
FBgn0053156,3,7.43,0.163342538
FBgn0037414,6,6.79,0.159068084
FBgn0037270,4,7.18,0.15658762
FBgn0025683,12,7.038214286,0.155645922
FBgn0086694,3,8.04,0.154560027
