Gene_Name,Number_of_binding_site,Strenght_of_binding,Expression_covariation
FBgn0003448,4,6.09,0.731360534
FBgn0086855,4,6.645,0.723722518
FBgn0035236,3,6.86,0.716974318
FBgn0052343,8,6.20375,0.686577305
FBgn0031379,10,6.345,0.685639301
FBgn0037371,10,6.445,0.684756093
FBgn0263380,6,6.09,0.66359417
FBgn0001123,6,6.09,0.661984588
FBgn0036460,6,6.09,0.660362447
FBgn0035158,8,6.545,0.659493498
FBgn0002183,3,6.09,0.658627014
FBgn0041160,5,7.05,0.656662079
FBgn0028690,4,6.3175,0.644935341
FBgn0016054,4,7,0.643752995
FBgn0263740,3,7.29,0.642715225
FBgn0086736,4,6.39,0.642276382
FBgn0031403,3,7.29,0.639500668
FBgn0037301,4,6.39,0.637327993
FBgn0015296,3,6.09,0.636541504
FBgn0004110,6,6.09,0.633793565
FBgn0035541,4,6.6675,0.63188317
FBgn0037329,5,6.33,0.629247023
FBgn0000166,10,6.301,0.625410044
FBgn0024352,3,6.86,0.616827298
FBgn0035877,3,6.393333333,0.615665688
FBgn0033235,3,6.09,0.606075113
FBgn0033476,3,6.86,0.605306686
FBgn0086695,9,6.825555556,0.602770058
FBgn0013576,6,6.86,0.601362743
FBgn0010438,3,7.096666667,0.59837891
FBgn0261530,5,6.09,0.597606438
FBgn0053526,7,6.22,0.596622774
FBgn0037293,8,6.6175,0.595575313
FBgn0261563,4,7,0.592363065
FBgn0010323,4,7.145,0.590748017
FBgn0020304,6,6.593333333,0.589318043
FBgn0002522,8,6.30625,0.589112529
FBgn0002543,6,6.641666667,0.587765162
FBgn0027597,4,6.09,0.586126052
FBgn0260648,3,7,0.585954053
FBgn0262867,4,6.3175,0.58286643
FBgn0263755,3,7.29,0.582849568
FBgn0031375,5,6.454,0.578334259
FBgn0031376,6,6.993333333,0.576259398
FBgn0004635,9,6.326666667,0.569303458
FBgn0015621,5,6.81,0.563810237
FBgn0027594,5,7.116,0.559035266
FBgn0035205,12,6.7175,0.557509595
FBgn0040809,3,6.43,0.554830239
FBgn0035371,4,7,0.553052287
FBgn0041147,4,6.09,0.552361093
FBgn0036206,3,6.696666667,0.550514752
FBgn0028926,3,6.393333333,0.550074779
FBgn0037000,3,6.49,0.548456374
FBgn0022893,3,6.09,0.548100401
FBgn0037364,9,6.171111111,0.546207471
FBgn0020766,3,6.89,0.544789696
FBgn0014857,4,6.09,0.544664124
FBgn0000565,3,6.793333333,0.543284569
FBgn0033038,6,6.833333333,0.54317359
FBgn0035285,12,6.993333333,0.543005995
FBgn0033483,3,7.29,0.540826554
FBgn0052476,4,6.845,0.535940096
FBgn0035235,7,7.118571429,0.530788655
FBgn0025725,6,6.793333333,0.524289429
FBgn0037279,8,6.67875,0.523902782
FBgn0004603,5,7.05,0.52037845
FBgn0034655,5,6.57,0.514314535
FBgn0036862,3,6.09,0.513119508
FBgn0034029,3,6.09,0.511544212
FBgn0035195,8,6.58125,0.511510429
FBgn0031344,3,6.666666667,0.506118019
FBgn0264326,3,6.696666667,0.505742722
FBgn0250814,5,6.454,0.502048222
FBgn0011672,4,6.09,0.498299032
FBgn0035423,3,6.696666667,0.496743495
FBgn0050431,6,6.641666667,0.4866698
FBgn0035267,4,6.345,0.48446073
FBgn0035237,4,7.29,0.484072382
FBgn0031321,11,6.992727273,0.482422299
FBgn0000043,6,6.593333333,0.481422012
FBgn0035229,13,6.260769231,0.481416749
FBgn0003278,6,6.441666667,0.478464821
FBgn0032202,3,7.096666667,0.475244071
FBgn0038683,4,7.145,0.474560832
FBgn0031245,3,6.86,0.471722884
FBgn0037391,7,6.432857143,0.468874445
FBgn0002774,7,7.105714286,0.466362224
FBgn0029095,5,6.57,0.465145937
FBgn0035470,4,6.09,0.459277113
FBgn0038950,6,6.075,0.457856732
FBgn0004581,5,6.09,0.456603683
FBgn0035424,4,6.545,0.456084597
FBgn0035120,11,6.526363636,0.45558804
FBgn0035179,4,6.09,0.446364302
FBgn0037998,3,6.393333333,0.44147795
FBgn0000097,4,6.645,0.437563119
FBgn0015905,6,6.89,0.437433105
FBgn0031832,4,7.145,0.437225355
FBgn0039137,4,7.29,0.434992868
FBgn0031304,7,6.261428571,0.432274051
FBgn0005648,3,6.696666667,0.431825115
FBgn0038312,3,7.29,0.431247716
FBgn0037309,3,6.49,0.429063573
FBgn0035147,4,7.29,0.428571596
FBgn0039169,10,6.09,0.427013843
FBgn0052344,3,6.49,0.422770539
FBgn0263231,3,6.09,0.408511483
FBgn0033062,8,6.39,0.407233617
FBgn0025525,8,6.4675,0.404697388
FBgn0031282,3,7.096666667,0.403039008
FBgn0082585,5,6.09,0.401988346
FBgn0037578,4,6.09,0.395486677
FBgn0010772,9,6.825555556,0.394694116
FBgn0031238,10,7.112,0.393350861
FBgn0037025,3,6.696666667,0.393155972
FBgn0033716,4,7.29,0.390147457
FBgn0039172,4,6.3175,0.386726099
FBgn0032487,3,6.03,0.380786492
FBgn0028577,4,6.545,0.375814173
FBgn0003275,4,6.0675,0.375183791
FBgn0037372,8,6.69,0.374969025
FBgn0037571,5,7.29,0.372719278
FBgn0037435,5,6.694,0.371206729
FBgn0085335,10,6.327,0.369502631
FBgn0000109,3,7.096666667,0.368247287
FBgn0036255,3,6.696666667,0.367934018
FBgn0250789,11,6.174545455,0.365211829
FBgn0037012,3,6.393333333,0.359803025
FBgn0263392,4,6.09,0.355958754
FBgn0004583,3,6.09,0.352536583
FBgn0013343,4,6.09,0.350769537
FBgn0004636,6,7.29,0.349695938
FBgn0013755,4,6.545,0.349566717
FBgn0032955,3,7.193333333,0.345140656
FBgn0263097,4,6.09,0.344225531
FBgn0031216,11,6.691818182,0.343276343
FBgn0037469,3,7.29,0.342838835
FBgn0033352,4,7,0.342419614
FBgn0027111,3,6.793333333,0.335792917
FBgn0010894,4,6.09,0.334014949
FBgn0037265,4,6.99,0.332602757
FBgn0053203,4,6.09,0.332057383
FBgn0031359,5,7.116,0.323418868
FBgn0260794,8,6.69,0.317192063
FBgn0031675,4,6.09,0.312703282
FBgn0001254,3,6.89,0.311204552
FBgn0003353,6,6.09,0.308731616
FBgn0031267,5,7.05,0.306097205
FBgn0035923,3,6.666666667,0.304200434
FBgn0037818,3,6.06,0.303728074
FBgn0025712,6,6.793333333,0.301118749
FBgn0033032,4,6.5,0.299020707
FBgn0034180,4,6.09,0.291692397
FBgn0036648,3,7.096666667,0.28418324
FBgn0035227,6,6.06,0.279243499
FBgn0033872,4,6.545,0.278653937
FBgn0013759,3,6.09,0.278597351
FBgn0031611,3,6.49,0.277990255
FBgn0053554,4,6.3175,0.276868235
FBgn0033373,3,6.49,0.272575238
FBgn0026630,3,6.09,0.272360655
FBgn0032491,3,6.86,0.269006101
FBgn0020767,6,6.09,0.268348268
FBgn0037340,3,6.09,0.263030165
FBgn0010453,3,6.09,0.258119503
FBgn0261619,3,6.09,0.252839262
FBgn0031285,6,6.641666667,0.250817793
FBgn0031286,13,6.366923077,0.246141625
FBgn0035232,5,6.57,0.245640347
FBgn0027575,6,6.09,0.244608415
FBgn0086447,3,6.09,0.234393328
FBgn0039130,3,7.29,0.234188996
FBgn0034140,3,6.49,0.233177624
FBgn0035266,3,7.193333333,0.233104195
FBgn0035268,3,7.29,0.225914326
FBgn0033429,4,6.69,0.224422743
FBgn0037446,6,6.09,0.22435207
FBgn0039774,3,6.06,0.223420752
FBgn0037297,11,6.94,0.222666797
FBgn0051313,4,6.09,0.219990743
FBgn0035233,9,6.191111111,0.216238154
FBgn0043364,4,6.39,0.21533192
FBgn0031377,9,6.383333333,0.214634541
FBgn0037083,7,6.261428571,0.209660293
FBgn0031399,5,7.116,0.202560928
FBgn0004378,8,6.73125,0.199008937
FBgn0034897,3,6.06,0.192893905
FBgn0039466,4,6.09,0.190482339
FBgn0039282,3,6.09,0.184428165
FBgn0035318,4,6.69,0.183515678
FBgn0031384,9,6.395555556,0.178172036
FBgn0035298,7,6.692857143,0.177704414
FBgn0035203,9,6.728888889,0.175077363
FBgn0035162,3,6.09,0.173030663
FBgn0083991,3,6.393333333,0.171785119
FBgn0016061,4,7.29,0.169708445
FBgn0260756,10,6.632,0.165742548
FBgn0031318,4,7,0.165264178
FBgn0016715,3,6.49,0.163266285
FBgn0036574,3,6.89,0.160739204
FBgn0023023,3,6.09,0.158167187
FBgn0042112,4,7.29,0.157090015
FBgn0037315,3,6.06,0.155676792
FBgn0000099,5,6.636,0.150289182
FBgn0262562,3,6.09,0.143955086
FBgn0035249,4,6.69,0.137426972
FBgn0034490,3,7,0.132709369
FBgn0031251,6,6.241666667,0.131304986
FBgn0010342,3,6.393333333,0.127532819
FBgn0031299,5,6.992,0.127184866
FBgn0051005,4,6.09,0.127004653
FBgn0004870,3,6.03,0.123463479
FBgn0259749,4,6.845,0.12018501
FBgn0037607,3,6.09,0.117910716
FBgn0035144,3,6.333333333,0.116890787
FBgn0038478,3,6.49,0.113374795
FBgn0041337,3,6.09,0.113307601
FBgn0011701,4,6.09,0.112024002
FBgn0038951,4,6.0675,0.110553093
FBgn0014366,6,6.46,0.108520345
FBgn0039064,3,6.09,0.107052743
FBgn0037313,8,6.9175,0.104361048
FBgn0039113,3,6.696666667,0.10323447
FBgn0010435,3,6.09,0.102393966
FBgn0031774,3,6.09,0.101358486
FBgn0037262,13,6.238461538,0.09823233
FBgn0035146,6,6.545,0.092775518
FBgn0024806,4,6.5225,0.092300113
FBgn0027951,8,6.69,0.09138691
FBgn0037332,4,6.69,0.088424003
FBgn0035253,5,7.058,0.083897136
FBgn0037414,7,6.22,0.08043404
FBgn0035287,4,6.39,0.079834639
FBgn0032013,3,6.49,0.077268818
FBgn0039682,3,7,0.070474512
FBgn0011726,4,6.09,0.069122296
FBgn0010750,4,7,0.069058477
FBgn0001311,5,6.09,0.06880128
FBgn0013342,4,6.5,0.066452048
FBgn0033376,3,6.49,0.065969416
FBgn0025693,5,6.57,0.063795051
FBgn0024321,3,6.49,0.06207781
FBgn0010602,8,6.39,0.055495024
FBgn0263346,10,6.934,0.051875843
FBgn0000541,3,6.793333333,0.043024914
FBgn0035308,5,6.8,0.040965909
FBgn0027570,5,6.636,0.036376454
FBgn0031294,9,6.66,0.02280911
FBgn0083983,4,6.09,0.022254423
FBgn0051559,8,6.39,0.021464074
FBgn0035132,5,6.81,0.017937405
FBgn0037244,11,6.966363636,0.017035599
FBgn0261562,11,6.190909091,0.017027524
FBgn0033060,7,6.064285714,0.013428538
FBgn0085203,9,6.595555556,0.009315332
FBgn0038808,4,6.09,0.009284104
FBgn0026417,8,6.69,0.009268317
FBgn0035181,5,6.09,-0.002897185
FBgn0037416,3,6.06,-0.00428823
FBgn0086906,3,6.696666667,-0.009909187
FBgn0025286,3,7.193333333,-0.011579652
FBgn0024150,3,6.696666667,-0.013499961
